Target,Average Shift,SD,SE,CV,run
p-Src_ch2,191.45469250000002,6.23497326060224,3.11748663030112,3.2566312056322357,XP-001b
hydroxy-HIF_ch1,259.4678175,22.939626641835854,11.469813320917927,8.841029636300021,XP-001b
thermal,0.2512699999999999,0.2583523316938843,0.12917616584694214,102.81861411783515,XP-001c
p-c-Abl_ch1,590.5670925,58.56564085260087,29.282820426300436,9.916847991763252,XP-001c
p-c-Abl_ch2,423.8963925,64.63082561252718,32.31541280626359,15.246844926269851,XP-001c
hydroxy-HIF_ch2,230.85707,21.89263146916941,10.946315734584704,9.48319731735719,XP-001c
p-PDK1_ch1,1443.506645,154.36903378347128,77.18451689173564,10.694030007979027,XP-001c
p-PDK1_ch2,578.745735,83.38869760121074,41.69434880060537,14.408520453495996,XP-001c
p-GSK3b_ch1,2054.978095,486.3184164877806,243.1592082438903,23.66538201409785,XP-001c
p-GSK3b_ch2,2238.979363125,309.15326427398935,154.57663213699468,13.807776407661764,XP-001c
p-p70S6K_ch1,1323.746392425,27.88193255698436,13.94096627849218,2.1062895972019864,XP-001c
p-p70S6K_ch2,338.6797025,39.04153798997294,19.52076899498647,11.527569471032276,XP-001c
p-S6_235_ch1,3859.9169174999997,522.4673412922222,261.2336706461111,13.535714691771528,XP-001c
p-S6_235_ch2,804.1618225,163.81651344448574,81.90825672224287,20.371088114480308,XP-001c
p-Rb_780_ch1,754.2810175,226.38798999034825,113.19399499517412,30.013746168595347,XP-001c
p-Rb_780_ch2,273.47216,55.40192988812655,27.700964944063276,20.25870929169776,XP-001c
p-Akt_308_ch1,423.30134,38.13481015764326,19.06740507882163,9.008903718009318,XP-001c
p-Akt_308_ch2,169.1119875,29.395509103589283,14.697754551794642,17.382274041093204,XP-001c
p-S6_240_ch1,4287.6625925,216.59500557822025,108.29750278911013,5.0515869872104515,XP-001c
p-S6_240_ch2,1184.5209775,98.71545473019002,49.35772736509501,8.333786957368597,XP-001c
p-Rb_807_ch1,778.6005224999999,52.27440707085545,26.137203535427727,6.713893140349833,XP-001c
p-Rb_807_ch2,229.8671025,25.197000897268854,12.598500448634427,10.961551532703057,XP-001c
p-mTOR_ch1,364.50527999999997,32.91129882589196,16.45564941294598,9.029032124278684,XP-001c
p-mTOR_ch2,144.8517175,2.898502740232156,1.449251370116078,2.001013719586829,XP-001c
p-MAPK_ch1,748.21166075,77.7571207113304,38.8785603556652,10.392396268375105,XP-001c
p-MAPK_ch2,226.6253775,18.16105387429376,9.08052693714688,8.01368940876613,XP-001c
p-Akt_473_ch1,522.0058349999999,43.48562026710009,21.742810133550044,8.330485475722718,XP-001c
p-Akt_473_ch2,181.525762625,23.061810563818273,11.530905281909137,12.704428412985036,XP-001c
p-p53_ch1,358.53388499999994,34.17837175069786,17.08918587534893,9.532814939011375,XP-001c
p-p53_ch2,179.0025175,24.945580957945733,12.472790478972867,13.935882749775145,XP-001c
p-Src_ch1,1139.308845,65.08240058189698,32.54120029094849,5.712445827794568,XP-001c
p-Src_ch2,225.91103249999998,26.115622213353902,13.057811106676951,11.56013583061903,XP-001c
hydroxy-HIF_ch1,683.0597,41.05838532513423,20.529192662567116,6.0109512133616185,XP-001c
thermal,0.13625950000000087,0.4651571392840459,0.23257856964202295,341.37593289571953,XP-001d
